Hindi,English
पूर्ण,Complete
पुलिस,Police
बोला,spoke
थईआ,Thiaia
कमी,Shortage
समस्या,Problem
कार्यक्रम,Program
विवाह,Marriage
भूमि,Earth
भाव,Rate
देखकर,after seeing
करोड़,Ten million
प्रथम,First
मूल,Original
परिवर्तन,Change
बच्चों,Children
लाभ,Benefit
प्रदान,Grant
आये,Come
छोटी,Small
स्त्री,Woman
सेवा,Service
व्यवहार,Behaviour
राम,Ram
रचना,Composition
की,Did
भिन्न,Different
मिट्टी,Soil
देशों,Countries
इनके,Their
आती,Come
सही,Correct
उपलब्ध,Available
बल्कि,Rather
प्राय,At the time
बिजली,Electricity
लेते,Take
जान,Life
बढ़,Enhancement
सारे,all
शायद,Perhaps
सरकारी,Government
पड़,Fall
चुका,Reproach
पड़ा,Lying
विधि,Method
छोड़,leave
लिखा,wrote
जबकि,Whereas
सिर्फ,Only
दर्शन,Visit
प्रक्रिया,Process
दिखाई,Visible
कुल,Total
शब्दों,Words
लाल,Red
निकल,Out
नये,New
रखने,Keep
पंजाब,Punjab
नदी,River
गए,Went
मृत्यु,Death
स्वीकार,Accept
अन्तरिक्ष,Space
आकर,Size
याद,Memory
उठा,picking
दूध,Milk
कांग्रेस,Congress
सारी,all
माध्यम,Channel
दूसरा,Second
संबंध,Relation
जिन,Ginnie
चाहे,whether
चाहते,Want
प्रणाली,System
तभी,Only
होंगे,Will be
इनमें,In
सन,Sun
मान,Value
पुत्र,Son
उद्देश्य,Objective
विश्वास,Belief
पिछले,last
ताकि,So that
निश्चित,Fixed
जिसका,Whose
जानकारी,Information
नेता,Leader
बालक,Boy
अन्त,End
उचित,Appropriate
संगीत,music
जल्दी,Quick
क्षमता,Capacity
हजार,Thousand
जाएगा,Will go
बनाया,Make
पति,Husband
कोशिश,Effort
चुके,Sailed
खाने,Eating
फसल,Crop
प्रकृति,Nature
पौधों,Plants
प्रकट,Revealed
पक्ष,Party
नीति,Policy
यद्यपि,Although
मात्र,Only
भारी,Heavy
पुस्तकालय,Library
चले,Let's go
समिति,Committee
सामग्री,Material
चाहिये,Want
अन्तर्गत,Under
माल,Goods
शामिल,Involved
बोली,Dialect
उनसे,With them
अपेक्षा,Expectation
हेतु,For
नगर,City
दिये,Lamp
सम्बन्धी,Related
पुस्तक,Book
खुद,Self
वर्णन,Description
बने,Made up
जोर,Loser
करें,Do
जिनमें,In which
लक्षण,Symptom
नामक,Nominated
वहीं,There itself
तुम्हारे,Your
विश्व,World
शासन,Government
वैसे,By the way
युग,Era
बैठ,Seated
स्थापना,Establishment
अर्थात,In other words
सारा,All
लेता,Take
लगती,Looks like
शैली,Style
लें,Take
पार्टी,Party
गीत,Song
अवसर,Occasion
युद्ध,Warning
मालूम,Known
चारों,All four
प्रकाश,Light
जायेगा,will go
बैठे,Seated
तुम्हें,You
समाप्त,End
जाय,Go
साफ,Clean
धार्मिक,Religious
ताप,Heat
उल्लेख,Mention
वर्तमान,Current
लेना,Take
थोड़ी,Slightly
इनका,Their
विकसित,advanced
बन्द,Off
प्रसिद्ध,Famous
विशिष्ट,Specific
प्रेम,Love
चली,Sustainable
रखते,Keep
भावना,Emotion
चलता,On
सिद्ध,Proven
वालों,People
चित्रों,Paintings
पुरुष,Male
पदार्थ,Substance
चर्चा,Discussion
खाना,Eat
उच्च,High
इतने,So much
दी,Gave
दिए,Given
सीमा,Limit
वस्तु,Thing
पड़ी,Lying
गति,Speed
अत्यन्त,Extremely
संगठन,Organization
कितना,How much
इस्तेमाल,Use
बाबा,Dad
प्रकाशित,Published
ढंग,behaviour
अधिकार,Right
उधर,There
पड़े,Lying
सके,Sustain
सूचना,Information
अंग्रेजी,English
सुन्दर,Beautiful
पुनः,Again
केंद्रीय,Central
आधुनिक,Modern
शहर,City 
प्रधानमंत्री,Prime Minister
ब्राह्मण,Brahmin
उनको,For them
महीने,Month
अच्छे,Good
हवा,Air
शाम,Evening
इधर,here
संसार,World
विरोध,Oppose
रखना,Keep
प्रशिक्षण,Training
संघ,Federation
बनी,Made
पृथ्वी,Earth
ऊर्जा,energy
हमने,We
वास्तविक,Real
सहयोग,Cooperation
तेल,Oil
अवधि,Duration
सात,Seven
लगते,Felt
मार्ग,Way
बंद,Close
प्रचलित,Prevailing
संघर्ष,Conflict
दिशा,Direction
स्थित,Located
बैठा,sat
वर्षों,Years
अधिकांश,majority of
शादी,Marriage
वातावरण,Climate
तुलना,Compare
राजीव,Rajeev
साधारण,Simple
सम्पूर्ण,total
राजस्थान,Rajasthan
सफल,Success
कितने,How many?
वापस,Back
मानसिक,Mental
परम्परा,Tradition
बोले,Speak
बीज,Seed
खेल,Play
अंग,Organ
बैठक,meeting
जरूरत,Need
ग्रामीण,Rural
इनकी,Their
कथा,Story
आयु,age
बातचीत,Conversation
प्रभावित,Affected
निर्धारित,Determined
निकाल,Out
घटना,Event
कितनी,How many
कवि,Poet
रक्त,blood
बालकों,Boys
किसान,Farmer
इच्छा,Desire
आयी,Come
बजे,time
चेहरे,Face
गुण,Property
आकार,Shape
हृदय,Heart
राज,Rule
मार,Kill
चुकी,Tailor
यात्रा,Travel
नष्ट,Destroyed
खेती,Farming
सुबह,Morning
नयी,New
जिन्हें,Whom
आरम्भ,Launch
सुनकर,Hearing
वायु,Air
नजर,vision
थोड़ा,Little
खाली,Empty
ॐ,ॐ
खोज,Search
एकदम,At once
व्यक्तियों,Individuals
राजनीतिक,Political
आँखें,eyes
संबंधित,Connected
तेज,Quick
जरा,just
व्यक्तित्व,Persona
बदल,change
सवाल,Question
उपभोक्ता,Consumer
उपज,Yield
सुख,Happiness
मानते,Believe
मकान,House
तेजी,Rapid
जुलाई,july
प्रयत्न,try
देवता,God
जानते,Know
कपड़े,Clothes
संभव,possible
सकता,Can
मदद,Help
वास्तव,Reality
निकट,Close
चलते,Go
बाकी,Balance
सोच,Thinking
समस्त,All
सदस्य,Member
कठिन,Difficult
अरे,Hey
राज्यों,States
नया,New
सीधे,Straight
फूल,Flower
किस्म,Variety
अभाव,Lack
जरूरी,Necessary
सेना,Army
श्रम,Labor
विदेशी,Foreigner
बाल,Hair
पुराने,Old
किंतु,But
विस्तार,Expansion
जाएगी,Will go
छोटा,Small
वनस्पति,Vegetable
खर्च,Expenditure
पार,Cross
अधिकारी,Officer
चलने,Walking
आशा,Hope
सुधार,Improvement
विशाल,Huge
पूर्ति,Supply
डाल,Branch
जानता,knows
महसूस,Feel
बोल,Lyrics
प्रतीत,Appear
अध्यक्ष,President
सीखने,Learn
वर्ण,Character
व्यापक,Comprehensive
भविष्य,Future
ध्वनि,Sound
प्रयुक्त,Used
प्रचार,Publicity
प्यार,Dear
शिक्षण,Teaching
शेष,Remanent
मार्च,march
दुनिया,World
ख्याल,Care
प्रगति,Progress
गैस,Gas
लगातार,Continuous
तौर,Form
उन्हीं,They
सुरक्षित,Safe
सभा,Meeting
लौट,Back
लागत,Cost
बनाये,Made
दर्द,Pain
आखिर,Finally
सोचा,Think
दें,Give
चीज,Thing
कल्पना,Imagination
लक्ष्य,Target
चाय,Tea
खूब,Plenty
श्रीमती,Mrs
लाने,Bring
मुक्त,Free
बुद्धि,Intelligence
पश्चिम,West
खेत,Farm
होनी,Having
चाहती,Want
उपयुक्त,Suitable
अंत,Ending
साधन,Resource
संकेत,Signal
वस्तुओं,Objects
मामले,Case
बनाकर,By making
सहज,Simple
सदा,Always
शारीरिक,Body
पकड़,grasp
उपाय,Measure
संस्थान,Institute
सफलता,Success
बाबू,Baboo
तुम्हारी,Your
भूल,Mistake
आत्मा,Soul
विचारों,Ideas
रखी,Laid
भूमिका,Role
पैर,Feet
करे,Do
हाथों,Hand
भवन,Building
नियम,Rule
दिल,Heart
तकनीकी,technology
जिसकी,Whose
शिशु,Infant
व्यय,Expense
पेट,Abdomen
नींद,Sleep
नेताओं,Leaders
अंदर,Inside
लागू,Applicable
बनने,Form
त्वचा,skin
गायन,Singing
राजनीति,Politics
जमा,Deposit
सुविधा,Facility
बोर्ड,Board
कानून,Law
शुरु,Start
लेखक,Author
बावजूद,Despite
क्रम,Order
लगने,Settling
तुमने,You
हाल,Condition
सम्भव,Probable
स्टेशन,station
अगले,Next
रास्ते,Gesture
मस्तिष्क,Brain
गर्म,warm
संबंधी,relative
यानी,i.e
पुरानी,Old
चित्रण,Illustration
अधिकारियों,Officers
संस्कृत,Sanskrit
सुन,Listen
युवक,young boy
पाठ,"Lesson, "
स्थानों,Places
वर्षा,Rain
रखकर,By keeping
पशु,Animal
किसानों,Farmers
सत्ता,Power
प्राप्ति,Receipt
दवा,Medicine
खास,Special
कमेटी,Committee
अंक,Number
हानि,Loss
सरल,Easy
सिंचाई,Irrigation
शिकार,Hunt
वृक्ष,Tree
करेंगे,do
औद्योगिक,Industrial
आधारित,based
हत्या,the killing
सहकारी,Co -operative
विवरण,Description
रोज,Daily
मुझसे,Me
आना,To come
मौसम,Season
आँखों,Eyes
शुद्ध,Pure
भेद,Difference
विपरीत,Adverse
लम्बी,Long
बनाना,Make
दृष्टिकोण,Approach
गलत,Wrong
समर्थन,Support
सम्मेलन,conference
सचमुच,Really
बुद्ध,Buddha
बच्चा,Child
दीवार,Wall
आंखों,Eyes
अध्याय,Chapter
अत्यधिक,Excessive
सहित,Including
योग,Yoga
मुख,Face
बिहार,A state in Eastern India
काव्य,Poetry
सिद्धांत,Principle
सार्वजनिक,Public
लघु,Small
बता,Tell
परस्पर,mutual
तार,Wire
चूर्ण,Powder
आयोजन,events
सांस्कृतिक,Cultural
समझने,To understand
वाद्य,Instrument
प्रतीक,Sign 
तुम्हारा,Your
छात्र,Student
चुप,Silent
अक्सर,Often
जायेगी,Will go
रखे,Keep
भार,Burden
फलों,Fruit
जीवित,alive
आजकल,Nowadays
विस्तृत,Detailed
गिर,Gir
गुरू,Guru
खाद्य,Food
उतर,North
अमेरिका,America
सुना,heard
स्थानीय,local
विषयों,Subjects
घंटे,hours
कराने,Conduct
उतना,As much as
शताब्दी,Century
व्यवसाय,Business
मंदिर,Temple
परिचय,Introduction
गांवों,Villages
बाँध,dam
निश्चय,Determination
उपकरण,Device
आतंकवादियों,Militant
वैदिक,Vedic
भागों,Parts
अंश,Part
सूत्र,Formula
विविध,various
बारह,Twelve
फलस्वरूप,Consequently
काट,cutting
अधिकतर,mostly
स्वाभाविक,Natural
वाक्य,Sentence
बैठी,Sitting
परिस्थितियों,Circumstances
सूर्य,Sun
शत्रु,enemy
पत्तियों,Leaves
नियोजन,Planning
ग्रन्थ,Book
कही,Somewhere
उम्र,Age
अग्नि,Fire
सिख,Sikh
बाप,Father
पाकिस्तान,Pakistan
पश्चात्,Back
चिन्ता,Fanciful
आयोजित,Held
यहीं,Right here
वाद्यों,Instruments
मुसलमान,Muslim
भेज,Sending
बैंक,Bank
नारी,Woman
अंतिम,Last
समुद्र,Sea
संग्रह,Collection
लेती,Take
दृश्य,Scene
खाद,Fertilizer
आलोचना,Criticism
हैक्टर,Hectare
विरोधी,Opponent
पश्चिमी,Western
धान,Rice 
डाक,Post
कदम,step
आकाश,Sky
स्थायी,Permanent
वितरण,Distribution
वंश,Linage
रोक,Stoppage
प्रेरणा,Inspiration
चीनी,Sugar
औरत,women
अप्रैल,april
अनिवार्य,Mandatory
सकें,Can
महिला,Woman
पहचान,Identification
क्रमशः,Respectively
सैनिक,Soldier
वजह,Reason
लकड़ी,Wood
रुपये,Rupees
बढ़ा,Raised
पीठ,Back
पाई,Pie
डाक्टर,Doctor
सम्पर्क,Contact
वीं,Gentleman
माननीय,Honorable
मूल्यांकन,Evaluation
गाय,Cow
क्षण,Moment
हालत,Condition
संदर्भ,Reference
बीस,Twenty
दोष,Shortcoming
जीव,Creature
चित्रित,Painted
खान,Mine
खुशी,Happiness
रोजगार,employment
रिपोर्ट,Report
मंत्रालय,Ministry
प्राथमिक,primary
प्रदर्शित,Displayed
धारणा,perception
ताल,rythm
जंगल,Forest
सका,could
यान,Vault
उपक्रम,Enterprise
अंकित,Ankit
शिव,Shiva
त्याग,Sacrifice
जिसने,Whosoever
गरम,Hot
समाचार,news
शाखा,branch
बुरी,Bad
डाला,Pouring
जून,june
ज्ञात,Known
गर्भ,Pregnancy
कर्मचारियों,Employees
मामलों,Matters
बजाय,instead
तरीके,Manner
आदर्श,Ideal
हिस्सा,Part
संरचना,structure
स्पर्श,Touch
जनवरी,January
चित्रकला,drawing
चरित्र,Character
क्षेत्रीय,Regional
क्यू,Why
रखता,Keeps
बिक्री,Sales
पुस्तकों,Books
निर्मित,made
जैन,Jain
गले,Throat
ग्रा,Gram
खराब,Bad
करो,Do
कक्षा,Class
आश्चर्य,Wonder
रास्ता,Way 
युक्त,Rich
बनाए,Make
बेटा,Son
बेटे,Son
प्रबन्ध,Managing
निम्नलिखित,Following
चेहरा,face
अर्जुन,Arjuna
सम्मान,Respect
यथार्थ,Reality
बहू,Daughter in law
ध्वनियों,Sounds
जिन्होंने,Who
छाया,Shadow
खबर,News
संकट,crisis
बेटी,Daughter
पशुओं,Animals
अति,Extreme
समझता,Understand
रोकने,Stop
भक्ति,Devotion
दशा,Condition
चलती,On the moving
घास,Grass
कथन,statement
सामान,Belongings
मजदूरी,Labour
भरी,Stuffed
बिलकुल,Absolutely
दूसरों,Others
गरीब,Poor
अस्तित्व,Existence
अकेले,Lonely
सौन्दर्य,Beauty
साहसी,Daring
समझते,Understand
विद्युत,Electricity
लिखी,Written
नाटक,Drama
धूप,Sunlight
दरवाजे,Doors
कमजोर,Weak
आदत,Habit
सम्प्रदाय,Sect
शोध,Research
वीर,Daring
रुपया,Rupee
मौत,Death
भले,Good
प्रसन्न,Happy
निजी,Personal
जातियों,Castes
गीतों,Songs
कीट,Insect
उतनी,So much
अभ्यास,Practice
रंगों,Colors
मान्यता,Recognition
मजबूत,Strong
भीड़,Crowd
नियमों,Regulations
उठता,Arms
आनन्द,Joy
विष,Poison
प्र,Soul
तमाम,All
चिन्ह,Sign
स्थिर,Stable
शराब,Liquor
वैज्ञानिकों,Scientists
पहुंचा,reached up
नियमित,Regular
नवीन,New
गहरी,Deep
ऊष्मा,Heat
उत्तम,Excellent
शास्त्र,ethology
माह,Month
मालिक,Owner
भला,Good
भरे,Stuffed
बनाई,Made
गरीबी,poverty
आन्दोलन,Movement
विद्या,Knowledge
पारिवारिक,Family
तोड़,the break
चीजें,Things
कठोर,Harsh
अनुपात,Ratio
हरियाणा,Haryana
सम्पन्न,Rich
विधान,Legislation
राय,Opinion
तुरन्त,Immediately
आपस,Utterance
अधीन,Subordinate
शिक्षक,Teacher
विजय,Victory
लेख,Article
महोदय,Sir
भी,Too
फरवरी,February
पित्त,Bile
प्रत्यक्ष,Prima facie
तर्क,Argument
जेल,Jail
चुपचाप,silent
करा,Kara
अनुकूल,Friendly
विष्णु,Vishnu
यों,Like
भूख,appetite
बांस,bamboo
बनता,Fabrication
बनकर,be made
बैठकर,Seated
पात्र,Pot
पूर्वी,East
कठिनाई,Difficulty
इत्यादि,And so on
सदस्यों,Members
मूत्र,Urine
भरा,full
बुरा,bad
घोषणा,Announcement
खोल,Shell
खुश,Happy 
खेतों,Fields
कोश,Thesaurus
उपस्थित,Present
अभिव्यक्ति,Expression
श्रेष्ठ,Best 
नाग,snake
नाक,nose
जाता,go
छूट,Discount
घरों,Houses
खून,Blood
करेगा,Will do
उतार,Unloaded
अपराध,Crime
अधिनियम,Act
साहस,Bravery
सर्वप्रथम,the very first
पढ़ाई,Reading
दिखायी,Visible
दुख,Sadness
अगस्त,august
साथी,Fellow
सक्रिय,Active
पढ़ने,Reading
पढ़,Read
चालू,Working
आधा,half
समितियों,Committees
सूची,List
विवेचन,Deliberation
मनोविज्ञान,Psychology
पहुंचे,Reached
पुस्तकें,Books
किशोरी,teenager
इस्पात,steel
सामना,Cope
व्याख्या,Explanation
फुट,Foot
दिमाग,Brain
कर्मचारी,Employee
असर,Impact
अफसर,Officer
सतह,surface
विचित्र,Weird
बैल,Bull
तहत,Under
केन्द्रों,Centers
अम्ल,Acid
संरक्षण,Protection
सुनने,Listen
वाणी,Voice
लोहे,Iron
यंत्र,Machine
भाषाविज्ञान,language science
बोलने,Speaking
बोध,Perception
प्रकाशन,Publication
दादा,Grandpa
टूट,break
चरक,Charak
खाते,Account
कान,Ear
उद्योगों,Industries
आक्रमण,Invasion
अंग्रेजों,British
संभावना,Possibility
यथा,As
भेजा,Sent
बनाते,Create
नरेश,Naresh
दो,Two
चोरी,Theft
चित्रकार,Painter
कहे,saying
स्वतन्त्र,Independent
सूरज,Sun
सूक्ष्म,Micro
विशेषता,Speciality
लिख,Write
मास,Mass
पंचायत,jury
चरण,phase
गली,Street
खुले,Open
कुर्सी,Chair
सन्दर्भ,Reference
स्त्रोत,Source
वर्गीकरण,Classification
महाभारत,Mahabharata
फैल,Spreading
पेश,Present
प्रौद्योगिकी,Technology
पुराण,Purana
निर्धारण,Determination
चीन,China
शिकायत,Complaint
विद्यालय,School
वस्तुतः,Virtually
लाया,brought
बहन,Sister
पक्षी,Bird
निर्यात,Export
ना,No
जाये,Go
ज्यों,As
चक्कर,Dizziness
गोली,Gun Shot
कल्याण,welfare
क्रोध,Anger
कराया,Done
इंका,Inka
सीधा,Straight
संचार,Communications
विरुद्ध,Opposite
विद्वानों,Scholars
लम्बे,Long
भुगतान,Payment
तुझे,You
चयन,Selection
घोड़े,Horses
उच्चारण,Pronunciation
सोने,Gold
मौका,Opportunity
मोटे,fatty
भाषण,speech
निकला,Out
देवताओं,Gods
उत्पत्ति,Produce
शहरी,urban
शक्ति,Power
राष्ट्रपति,President
महाराज,King
मन्दिर,Mandir
इन्द्र,Indra
अपेक्षित,expected
अंतर्गत,Under
अजीब,Strange
संस्कार,Secrament
समाधान,Solution
शूल,Shool
लिखे,Wrote
रहेगा,Will be
रमेश,Ramesh
जड़,Root
अधिगम,Learning
सर्वाधिक,Most
मानता,agrees
मन्त्री,Minister
बाढ़,flood
बजट,Budget
नुकसान,Harm
थोड़े,A little
जाल,Net
जानने,Learn
कम्पनी,Company
कक्ष,Chamber
उपकरणों,Devices
उत्पन्न,Yield
उठकर,By getting up
इसको,It
साम्राज्य,Empire
संशोधन,Amendment
राजाओं,Kings
पसन्द,Pus
छात्रों,Students
गहरा,deep
किलोग्राम,Kilogram
कालेज,College
उल्लेखनीय,Remarkable
उपलब्धि,achievement
उत्साह,Excitement
मजदूर,Labour
प्रार्थना,Prayer
छिड़काव,Spraying
समुदाय,community
शोथ,Inflammation
लोरिक,Lorik
बौद्ध,Buddhist
बाग,Garden
बचा,Left out
पहाड़ी,Hill
प्रोत्साहन,Incentive
प्रबल,Predominant
पदार्थों,Substances
पूंजी,Finance
जगत,Universe
घोल,Slurry
एकता,Unity
सोचने,Thinking
सामान्यतः,Generally
स्वतंत्रता,Freedom
वित्तीय,financial
मानकर,Assuming
भौतिक,Physical
पाठ्यक्रम,Syllabus
परिणामस्वरूप,the resulting
पर्वत,Mountain
तलाश,pursuit
गोद,Lap
गांधीजी,Gandhiji
का,Of
अन्तर्राष्ट्रीय,International
सहन,Tolerate
शेर,Lion
वैसा,Like this
वस्त्र,Clothes
लक्ष्मी,Laxmi
रूक,Stroke
मुक्ति,Freedom
प्रोटीन,Protein
चलकर,By walking
गंभीर,Serious
आधी,Half
अंकन,Marking
हिंदी,Hindi
शान्त,Calm
शांति,Calmness
वर्गों,Classes
वृक्षों,Trees
रोगों,Diseases
बम्बई,Bombay
प्रथा,Practice
चीजों,Things
अतएव,So
सकती,Can
महिलाओं,Women
बाह्य,External
प्रेरित,Inspired
निहित,Implied
दिखाया,Shown
डालने,Pouring
डेढ़,One and a half
गैर,Non
सम्पत्ति,Property
श्रद्धा,Admiration
वार्ता,Dialogue
लड़कों,Boys
मानने,To accept
मुझ,Me
नमक,Salt
छवि,image
चाचा,Uncle
चलो,Let us go
करेगा,Will do
हिमाचल,Himachal
स्मिता,Smita
स्थल,Site
रखती,Keeps
रकम,Amount
पहुंचने,Reach
नाना,Grandfather
दरवाजा,Door
दुकान,Shop
ठोस,Solid
जेब,Pocket
चिन्तन,Thinking
गर्मी,Heat
खरीद,Purchase
क्रांति,Revolution
ऋतु,Season
सुनाई,Hearing
विद्यालयों,Schools
लिखने,Write
लखनऊ,Lucknow
राग,Raga
बरस,Year
ब्रज,Braj
पश्चात,After
डाली,branch
गृह,home
अकाली,Akali
सावधानी,Caution
सेवन,Consumption
स्वतन्त्रता,Independence
शून्य,Zero
विद्यार्थियों,students
मोटी,fat
भ्रष्टाचार,Corruption
देह,Body
तेरे,Your
कार्रवाई,Action
कार्यवाही,Proceeding
इस्लाम,Islam
आश्रम,Hermitage
आकर्षण,Attraction
हिस्से,Part
सम्राट,King
परेशान,Worried
परम्परागत,Traditional
दिसम्बर,December
जनसंख्या,population
घोषित,Declared
ऋषि,Sage
अखबार,Newspaper
रूपों,Forms
भस्म,Ash
बगल,Next
परिस्थिति,Situation
निगम,Corporation
नारायण,Narayan
तुरंत,Immediately
ढोला,Dhola
डालकर,By putting
चावल,Rice
गणेश,Ganesha
कार्यक्रमों,Programs
उठी,Got up
ईश्वर,God
आतंकवादी,Terrorist
आँख,eye
अदालत,court
होटल,hotel
हार,Garland
हजारों,Thousands
संदेह,Doubt
संक्षिप्त,Short
विद्वान,Scholar
व्रत,Fast
महत्व,Importance
भयंकर,Terrifying
बेहतर,better
ब्रिटिश,British
प्रिय,Dear
नियुक्त,Appointed
गम्भीर,Serious
उक्त,Deepent
अमल,Execution
हवाई,airy
हरे,Green
स्वर्णमंदिर,Golden Temple
ली,Took
मामला,Case
मछली,fish
बचपन,Childhood
बैंकों,Banks
पान,Paan
प्राण,Life
प्रतिक्रिया,feedback
जीवाणु,Bacteria
छाती,Chest
गढ़वाल,Garhwal
खुला,open
कार,car
क्रियाओं,Actions
अम्मा,Mother
अंगों,Organs
सन्देह,Doubt
विवाद,Controversy
लड़कियों,Girls
बाहरी,external
बारी,Turn
प्लेग,plague
पुरुष,Male
दोपहर,Afternoon
तमिल,Tamil
चौधरी,Chieftain
आचरण,Behaviour
अनाज,Cereal
ही,Sole
सिरे,Tip
साढ़े,Half -and -a -half
संयोग,Chance
विमर्श,Discourse
विधियों,Methods
व्यावहारिक,practical
वचन,Promise
रात्रि,Night
भावों,Gestures
भेंट,Gift
बुआई,Sowing
पैरों,Legs
पुराना,Old
प्रतीक्षा,Wait
पत्रों,Papers
पड़ेगा,Will have
जाओ,Go
किस्मों,Varieties
किन,Kin
उठे,Got up
आचार्य,Teacher
आई,I
अफ्रीका,Africa
अतीत,past
हल्के,Mild
सागर,Sea
शाह,Shah
शान्ति,Peace
विदेश,Foreign
वजन,Weight
लाखों,Millions
प्रारंभ,Start
प्राणियों,Creatures
निर्देश,Instruction
दावा,Claim
दे,Give
चाहा,Wanted
उदास,Downhearted
उत्तरी,Northern
असली,Real
हिम्मत,Courage
हरी,Green
स्नेह,affection
शासक,ruler
बदले,Change
बचाने,Save
प्रतिनिधि,Representative
दरअसल,In fact
देखभाल,Care
तने,Stem
जानती,Knowing
केंद्र,Center
औषधि,Medicine
उत्सव,Celebration
इनसे,from these
साथियों,Peer
संसाधन,resources
सदन,House
सूखे,Dried
संकल्प,Resolution
शक्तिशाली,Powerful
व्यर्थ,Useless
मिश्रण,Mixture
बोरोन,Boron
निकालने,Delete
घूम,Wander
गुस्सा,Anger
क्षति,Damage
उठती,Raising
अरब,Arab
अत्यंत,Extremely
अक्षर,Letter
संस्थानों,Institutions
सुपर,Super
संगठनों,Organizations
विशेषकर,Especially
वेद,Veda
महाराजा,King
भरत,Bharat
बोझ,Burden
बादल,Cloud
बयान,Statement
पत्तियां,Leaves
चढ़,Climbing
उम्मीद,Hope
उपेक्षा,Ignore
सिद्धान्तों,Principles
स्व,Self
सुनते,Hearing
सकते,Can
रबड़,rubber
मेल,Match
